property_id,property_name,property_types,floor_level,completion_year,facing
property_119,"2 Bed, 1 Bath Apartment for Sale & Rent in Tonle Bassac",Apartment,19.0,2018,
property_120,"1 Bed, 1 Bath Studio for Sale in BKK 1",Studio,10.0,2018,
property_121,"6 Bed, 9 Bath Villa for Sale & Rent in Phnom Penh Thmey",Villa,3.0,2018,N
property_122,"8 Bed, 10 Bath Twin Villa for Sale in Borey The Mekong Royal",Twin Villa,,2018,N
property_123,"7 Bed, 9 Bath Villa for Sale in Borey The Mekong Royal",Villa,,2018,N
property_124,"7 Bed, 9 Bath Villa for Sale in Borey Peng Huoth: The Star Mera Garden",Villa,,2018,N
property_125,"5 Bed, 6 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Delta",Twin Villa,,2018,W
property_126,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Platinum Mercurean I",Twin Villa,,2018,E
property_127,"3 Bed, 2 Bath Condo for Sale in Nirouth",Condo,11.0,2018,
property_128,"4 Bed, 5 Bath Villa for Sale & Rent in Phnom Penh Thmey",Villa,,2018,S
property_129,Land for Sale & Rent in Veal Vong,Land/Development,,2018,
